career_id,family_id,name,slug,role_kind,market_status,evidence_status,description,education_summary,direct_animal_contact,career_stage,active,last_verified,source_origin
cr_0001,rf_behavior_research,Animal behavior research assistant / technician,animal-behavior-research-assistant-technician,career,R — Real work/function; employers commonly use other titles,verified_current_market,"Supports laboratory or field studies of animal behavior by observing animals, coding behavior, maintaining research records, helping run experiments, and preparing data for analysis.",B.S.-accessible / experience-driven,Moderate,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0002,rf_applied_behavior,Animal behaviorist / applied animal behavior scientist,animal-behaviorist-applied-animal-behavior-scientist,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Uses behavioral science to understand, assess, and modify animal behavior in settings such as shelters, zoos, companion-animal programs, research institutions, or welfare organizations.",Graduate degree typical,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0003,rf_behavior_research,Comparative cognition researcher,comparative-cognition-researcher,scientific_specialty,F — Established scientific specialty; payroll title usually differs,established_scientific_specialty,"Studies how different species perceive, learn, remember, solve problems, make decisions, and process information, usually through controlled behavioral experiments and comparative methods.",Graduate degree typical,Low / variable,variable,1,2026-09-08,legacy_researched_matrix
cr_0004,rf_behavior_research,Animal learning researcher,animal-learning-researcher,scientific_specialty,F — Established scientific specialty; payroll title usually differs,established_scientific_specialty,"Studies conditioning, learning, memory, reinforcement, discrimination, and related behavioral processes; independent research roles generally sit within psychology, biology, neuroscience, or animal-behavior programs.",Graduate degree typical,Low / variable,variable,1,2026-09-08,legacy_researched_matrix
cr_0005,rf_behavior_research,Animal communication researcher,animal-communication-researcher,scientific_specialty,F — Established scientific specialty; payroll title usually differs,verified_current_market,"Investigates acoustic, visual, chemical, tactile, or multimodal signaling and how communication relates to learning, social behavior, ecology, and evolution.",Graduate degree typical,Low / variable,variable,1,2026-09-08,legacy_researched_matrix
cr_0006,rf_welfare_husbandry,Animal welfare scientist,animal-welfare-scientist,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Develops and applies behavioral, physiological, and environmental measures to evaluate animal welfare and test ways to improve care, housing, husbandry, enrichment, or management.",Graduate degree typical,High,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0007,rf_welfare_husbandry,Animal welfare / behavior coordinator,animal-welfare-behavior-coordinator,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Coordinates practical welfare and behavior programs, often combining assessment, staff guidance, enrichment plans, training protocols, records, and case management.",B.S.-accessible / experience-driven,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0008,rf_welfare_husbandry,Behavioral husbandry specialist,behavioral-husbandry-specialist,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Integrates husbandry with behavior science, using training, choice/control, enrichment, cooperative care, and behavioral monitoring to improve daily animal management.",B.S.-accessible / experience-driven,High,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0009,rf_welfare_husbandry,Enrichment coordinator / specialist,enrichment-coordinator-specialist,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Plans, evaluates, documents, and improves enrichment programs designed to promote species-appropriate behavior and reduce behavioral problems in animals under human care.",B.S.-accessible / experience-driven,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0010,rf_applied_behavior,Science-based animal trainer,science-based-animal-trainer,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Uses learning theory, reinforcement, careful observation, and measurable training plans for husbandry, welfare, service work, education, or animal-care applications.",B.S.-accessible / experience-driven,High,entry_or_early,1,2026-09-08,legacy_researched_matrix
